Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
-255	14041	-92	1
-255	13948	-93	-1
-255	13856	-92	1
-255	13763	-93	-1
-255	13671	-92	1
-255	13578	-93	-1
-255	13486	-92	1
-255	13393	-93	-1
-255	13301	-92	1
-255	13210	-91	1
-255	13118	-92	-1
-255	13027	-91	1
-255	12935	-92	-1
-255	12844	-91	1
-255	12752	-92	-1
-255	12661	-91	1
-255	12569	-92	-1
-255	12478	-91	1
-255	12386	-92	-1
-255	12295	-91	1
-255	12203	-92	-1
-255	12112	-91	1
-255	12020	-92	-1
-255	11929	-91	1
-255	11837	-92	-1
-255	11746	-91	1
-255	11655	-91	0
-255	11563	-92	-1
-255	11472	-91	1
-255	11380	-92	-1
-255	11289	-91	1
-255	11197	-92	-1
-255	11106	-91	1
-255	11014	-92	-1
-255	10923	-91	1
-255	10831	-92	-1
-255	10740	-91	1
-255	10647	-93	-2
-255	10555	-92	1
-255	10464	-91	1
-255	10372	-92	-1
-255	10281	-91	1
-255	10189	-92	-1
-255	10098	-91	1
-255	10006	-92	-1
-255	9915	-91	1
-255	9823	-92	-1
-255	9730	-93	-1
-255	9637	-93	0
-255	9543	-94	-1
-255	9450	-93	1
-255	9356	-94	-1
-255	9264	-92	2
-255	9171	-93	-1
-255	9079	-92	1
-255	8986	-93	-1
-255	8893	-93	0
-255	8799	-94	-1
-255	8706	-93	1
-255	8612	-94	-1
-255	8519	-93	1
-255	8427	-92	1
-255	8334	-93	-1
-255	8242	-92	1
-255	8149	-93	-1
-255	8057	-92	1
-255	7964	-93	-1
-255	7872	-92	1
-255	7779	-93	-1
-255	7687	-92	1
-255	7594	-93	-1
-255	7502	-92	1
-255	7409	-93	-1
-255	7317	-92	1
-255	7224	-93	-1
-255	7132	-92	1
-255	7039	-93	-1
-255	6946	-93	0
-255	6852	-94	-1
-255	6760	-92	2
-255	6667	-93	-1
-255	6575	-92	1
-255	6482	-93	-1
-255	6390	-92	1
-255	6297	-93	-1
-255	6205	-92	1
-255	6112	-93	-1
-255	6020	-92	1
-255	5927	-93	-1
-255	5835	-92	1
-255	5742	-93	-1
-255	5650	-92	1
-255	5557	-93	-1
-255	5465	-92	1
-255	5372	-93	-1
-255	5280	-92	1
-255	5187	-93	-1
-255	5095	-92	1
-255	5002	-93	-1
-255	4910	-92	1
-255	4817	-93	-1
-255	4725	-92	1
-255	4632	-93	-1
-255	4540	-92	1
-255	4447	-93	-1
-255	4353	-94	-1
-255	4261	-92	2
-255	4168	-93	-1
-255	4075	-93	0
-255	3981	-94	-1
-255	3889	-92	2
-255	3796	-93	-1
-255	3703	-93	0
