Pendolo inverso attivazione
(dt=10, OCR2A=156, Prescaler=1024)
PWM	mStep	mVel	mAcc
255	18298	69	0
255	18366	68	-1
255	18435	69	1
255	18503	68	-1
255	18572	69	1
255	18640	68	-1
255	18708	68	0
255	18777	69	1
255	18846	69	0
255	18915	69	0
255	18983	68	-1
255	19052	69	1
255	19120	68	-1
255	19189	69	1
255	19257	68	-1
255	19325	68	0
255	19394	69	1
255	19463	69	0
255	19532	69	0
255	19601	69	0
255	19669	68	-1
255	19737	68	0
255	19806	69	1
255	19874	68	-1
255	19943	69	1
255	20012	69	0
255	20081	69	0
255	20150	69	0
255	20219	69	0
255	20287	68	-1
255	20355	68	0
255	20424	69	1
255	20492	68	-1
255	20562	70	2
255	20631	69	-1
255	20700	69	0
255	20768	68	-1
255	20837	69	1
255	20905	68	-1
255	20974	69	1
255	21043	69	0
255	21112	69	0
255	21181	69	0
255	21250	69	0
255	21318	68	-1
255	21387	69	1
255	21456	69	0
255	21525	69	0
255	21594	69	0
255	21663	69	0
255	21731	68	-1
255	21800	69	1
255	21869	69	0
255	21939	70	1
255	22007	68	-2
255	22076	69	1
255	22145	69	0
255	22214	69	0
255	22282	68	-1
255	22351	69	1
255	22421	70	1
255	22489	68	-2
255	22559	70	2
255	22627	68	-2
255	22696	69	1
255	22765	69	0
255	22834	69	0
255	22903	69	0
255	22972	69	0
255	23042	70	1
255	23111	69	-1
255	23180	69	0
255	23248	68	-1
255	23317	69	1
255	23386	69	0
255	23455	69	0
255	23524	69	0
255	23593	69	0
255	23663	70	1
255	23731	68	-2
255	23800	69	1
255	23869	69	0
255	23938	69	0
255	24007	69	0
255	24077	70	1
255	24145	68	-2
255	24215	70	2
255	24284	69	-1
255	24353	69	0
255	24422	69	0
255	24491	69	0
255	24560	69	0
255	24628	68	-1
255	24698	70	2
255	24767	69	-1
255	24836	69	0
255	24906	70	1
255	24975	69	-1
255	25043	68	-1
255	25113	70	2
255	25181	68	-2
255	25251	70	2
255	25320	69	-1
255	25389	69	0
255	25459	70	1
255	25528	69	-1
255	25597	69	0
255	25665	68	-1
255	25735	70	2
255	25804	69	-1
255	25873	69	0
255	25943	70	1
255	26011	68	-2
255	26081	70	2
255	26150	69	-1
255	26219	69	0
255	26288	69	0
255	26357	69	0
255	26426	69	0
255	26496	70	1
255	26565	69	-1
255	26634	69	0
255	26703	69	0
255	26772	69	0
255	26841	69	0
255	26911	70	1
255	26980	69	-1
255	27049	69	0
255	27118	69	0
255	27187	69	0
255	27256	69	0
255	27326	70	1
255	27395	69	-1
255	27464	69	0
255	27533	69	0
255	27602	69	0
255	27671	69	0
255	27741	70	1
255	27810	69	-1
255	27880	70	1
255	27949	69	-1
255	28018	69	0
255	28087	69	0
255	28156	69	0
255	28225	69	0
255	28295	70	1
255	28364	69	-1
255	28434	70	1
255	28503	69	-1
255	28572	69	0
255	28641	69	0
255	28710	69	0
255	28779	69	0
255	28849	70	1
255	28918	69	-1
255	28988	70	1
255	29057	69	-1
255	29125	68	-1
255	29195	70	2
255	29264	69	-1
255	29333	69	0
255	29403	70	1
255	29472	69	-1
255	29541	69	0
255	29611	70	1
255	29680	69	-1
255	29749	69	0
255	29818	69	0
255	29888	70	1
255	29956	68	-2
255	30026	70	2
255	30095	69	-1
255	30164	69	0
255	30234	70	1
255	30303	69	-1
255	30373	70	1
255	30442	69	-1
255	30511	69	0
255	30580	69	0
255	30649	69	0
255	30719	70	1
255	30788	69	-1
255	30858	70	1
255	30926	68	-2
255	30996	70	2
255	31065	69	-1
255	31134	69	0
255	31204	70	1
255	31273	69	-1
255	31343	70	1
255	31412	69	-1
255	31481	69	0
255	31550	69	0
255	31619	69	0
255	31688	69	0
255	31758	70	1
255	31828	70	0
255	31897	69	-1
255	31966	69	0
255	32035	69	0
255	32104	69	0
255	32174	70	1
255	32243	69	-1
255	32312	69	0
255	32382	70	1
255	32451	69	-1
255	32520	69	0
255	32590	70	1
255	32659	69	-1
255	32728	69	0
255	32797	69	0
255	32867	70	1
255	32936	69	-1
255	33005	69	0
255	33075	70	1
255	33144	69	-1
255	33214	70	1
255	33283	69	-1
255	33352	69	0
255	33421	69	0
255	33491	70	1
255	33560	69	-1
255	33630	70	1
255	33699	69	-1
255	33768	69	0
255	33837	69	0
255	33907	70	1
0	33976	69	-1
0	34044	68	-1
0	34110	66	-2
0	34178	68	2
0	34246	68	0
0	34314	68	0
0	34382	68	0
0	34450	68	0
0	34518	68	0
0	34586	68	0
0	34654	68	0
0	34722	68	0
0	34789	67	-1
0	34857	68	1
0	34924	67	-1
0	34991	67	0
0	35058	67	0
0	35125	67	0
0	35192	67	0
0	35259	67	0
0	35326	67	0
0	35392	66	-1
0	35458	66	0
0	35524	66	0
0	35590	66	0
0	35656	66	0
0	35721	65	-1
