Pendolo inverso attivazione
dt	OCR2A	Prescaler
10	156	1024
-255	10485	-54	0
-255	10431	-54	0
-255	10377	-54	0
-255	10323	-54	0
-255	10269	-54	0
-255	10215	-54	0
-255	10161	-54	0
-255	10106	-55	-1
-255	10052	-54	1
-255	9998	-54	0
-255	9944	-54	0
-255	9890	-54	0
-255	9836	-54	0
-255	9782	-54	0
-255	9728	-54	0
-255	9674	-54	0
-255	9619	-55	-1
-255	9565	-54	1
-255	9511	-54	0
-255	9457	-54	0
-255	9402	-55	-1
-255	9348	-54	1
-255	9294	-54	0
-255	9239	-55	-1
-255	9186	-53	2
-255	9131	-55	-2
-255	9077	-54	1
-255	9023	-54	0
-255	8968	-55	-1
-255	8914	-54	1
-255	8860	-54	0
-255	8805	-55	-1
-255	8751	-54	1
-255	8697	-54	0
-255	8642	-55	-1
-255	8588	-54	1
-255	8534	-54	0
-255	8480	-54	0
-255	8425	-55	-1
-255	8371	-54	1
-255	8317	-54	0
-255	8262	-55	-1
-255	8208	-54	1
-255	8153	-55	-1
-255	8099	-54	1
-255	8045	-54	0
-255	7990	-55	-1
-255	7936	-54	1
-255	7882	-54	0
-255	7827	-55	-1
-255	7773	-54	1
-255	7718	-55	-1
-255	7664	-54	1
-255	7610	-54	0
-255	7555	-55	-1
-255	7501	-54	1
-255	7446	-55	-1
-255	7392	-54	1
-255	7338	-54	0
-255	7283	-55	-1
-255	7229	-54	1
-255	7174	-55	-1
-255	7120	-54	1
-255	7065	-55	-1
-255	7011	-54	1
-255	6956	-55	-1
-255	6902	-54	1
-255	6847	-55	-1
-255	6793	-54	1
-255	6738	-55	-1
-255	6684	-54	1
-255	6629	-55	-1
-255	6575	-54	1
-255	6520	-55	-1
-255	6466	-54	1
-255	6411	-55	-1
-255	6357	-54	1
-255	6302	-55	-1
-255	6248	-54	1
-255	6193	-55	-1
-255	6138	-55	0
-255	6084	-54	1
-255	6029	-55	-1
-255	5975	-54	1
-255	5920	-55	-1
-255	5866	-54	1
-255	5811	-55	-1
-255	5757	-54	1
-255	5702	-55	-1
-255	5647	-55	0
-255	5593	-54	1
-255	5538	-55	-1
-255	5483	-55	0
-255	5429	-54	1
-255	5374	-55	-1
-255	5320	-54	1
-255	5266	-54	0
-255	5211	-55	-1
-255	5156	-55	0
-255	5102	-54	1
-255	5047	-55	-1
-255	4992	-55	0
-255	4938	-54	1
-255	4883	-55	-1
-255	4828	-55	0
-255	4774	-54	1
-255	4719	-55	-1
-255	4665	-54	1
-255	4610	-55	-1
-255	4555	-55	0
-255	4501	-54	1
-255	4446	-55	-1
-255	4391	-55	0
-255	4337	-54	1
-255	4282	-55	-1
-255	4227	-55	0
-255	4173	-54	1
-255	4118	-55	-1
-255	4063	-55	0
-255	4009	-54	1
-255	3954	-55	-1
-255	3899	-55	0
-255	3845	-54	1
-255	3790	-55	-1
-255	3735	-55	0
-255	3681	-54	1
-255	3626	-55	-1
-255	3571	-55	0
-255	3517	-54	1
-255	3462	-55	-1
-255	3407	-55	0
-255	3353	-54	1
-255	3298	-55	-1
-255	3243	-55	0
-255	3189	-54	1
-255	3134	-55	-1
-255	3079	-55	0
-255	3024	-55	0
-255	2970	-54	1
-255	2915	-55	-1
-255	2861	-54	1
-255	2806	-55	-1
-255	2751	-55	0
-255	2697	-54	1
-255	2642	-55	-1
-255	2587	-55	0
-255	2533	-54	1
-255	2478	-55	-1
-255	2423	-55	0
-255	2368	-55	0
-255	2314	-54	1
-255	2259	-55	-1
-255	2204	-55	0
-255	2150	-54	1
-255	2095	-55	-1
-255	2040	-55	0
-255	1986	-54	1
-255	1931	-55	-1
-255	1876	-55	0
-255	1821	-55	0
-255	1767	-54	1
-255	1712	-55	-1
-255	1657	-55	0
-255	1602	-55	0
-255	1547	-55	0
-255	1493	-54	1
-255	1438	-55	-1
-255	1383	-55	0
-255	1329	-54	1
-255	1274	-55	-1
-255	1219	-55	0
-255	1164	-55	0
-255	1110	-54	1
-255	1055	-55	-1
-255	1000	-55	0
-255	945	-55	0
-255	890	-55	0
-255	836	-54	1
-255	781	-55	-1
-255	726	-55	0
-255	672	-54	1
-255	617	-55	-1
-255	562	-55	0
-255	507	-55	0
0	452	-55	0
0	396	-56	-1
0	342	-54	2
0	290	-52	2
0	240	-50	2
0	192	-48	2
0	147	-45	3
0	102	-45	0
0	59	-43	2
0	18	-41	2
0	-21	-39	2
0	-59	-38	1
0	-97	-38	0
0	-133	-36	2
0	-167	-34	2
0	-199	-32	2
0	-228	-29	3
0	-256	-28	1
0	-283	-27	1
0	-307	-24	3
0	-332	-25	-1
0	-355	-23	2
0	-376	-21	2
0	-396	-20	1
0	-414	-18	2
0	-430	-16	2
0	-445	-15	1
0	-459	-14	1
0	-471	-12	2
0	-482	-11	1
0	-491	-9	2
0	-499	-8	1
0	-506	-7	1
0	-511	-5	2
0	-515	-4	1
0	-517	-2	2
0	-518	-1	1
0	-518	0	1
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
0	-518	0	0
255	-518	0	0
255	-512	6	6
255	-492	20	14
255	-463	29	9
255	-426	37	8
255	-384	42	5
255	-339	45	3
255	-290	49	4
255	-240	50	1
255	-189	51	1
255	-137	52	1
255	-84	53	1
255	-31	53	0
255	24	55	2
255	78	54	-1
255	132	54	0
255	186	54	0
255	240	54	0
255	294	54	0
255	349	55	1
255	403	54	-1
255	458	55	1
255	512	54	-1
255	566	54	0
255	621	55	1
255	675	54	-1
255	729	54	0
255	783	54	0
255	838	55	1
255	892	54	-1
255	947	55	1
255	1001	54	-1
255	1056	55	1
255	1110	54	-1
255	1164	54	0
255	1219	55	1
255	1273	54	-1
255	1328	55	1
255	1382	54	-1
255	1437	55	1
255	1491	54	-1
255	1546	55	1
255	1600	54	-1
255	1654	54	0
255	1709	55	1
255	1763	54	-1
255	1818	55	1
255	1872	54	-1
255	1926	54	0
255	1981	55	1
255	2035	54	-1
255	2090	55	1
255	2144	54	-1
255	2198	54	0
255	2253	55	1
255	2307	54	-1
255	2362	55	1
255	2416	54	-1
255	2470	54	0
255	2525	55	1
255	2579	54	-1
255	2633	54	0
255	2688	55	1
255	2742	54	-1
255	2797	55	1
255	2851	54	-1
255	2906	55	1
255	2960	54	-1
255	3014	54	0
255	3069	55	1
255	3123	54	-1
255	3178	55	1
255	3232	54	-1
255	3286	54	0
255	3341	55	1
255	3395	54	-1
255	3450	55	1
255	3504	54	-1
255	3559	55	1
255	3613	54	-1
255	3668	55	1
255	3722	54	-1
255	3777	55	1
255	3831	54	-1
255	3886	55	1
255	3940	54	-1
255	3995	55	1
255	4049	54	-1
255	4103	54	0
255	4158	55	1
255	4213	55	0
255	4267	54	-1
255	4322	55	1
255	4376	54	-1
255	4430	54	0
255	4485	55	1
255	4539	54	-1
255	4594	55	1
255	4648	54	-1
255	4703	55	1
255	4758	55	0
255	4812	54	-1
255	4866	54	0
255	4921	55	1
255	4975	54	-1
255	5030	55	1
255	5084	54	-1
255	5138	54	0
255	5193	55	1
255	5247	54	-1
255	5302	55	1
255	5357	55	0
255	5411	54	-1
255	5466	55	1
255	5520	54	-1
255	5574	54	0
255	5629	55	1
255	5683	54	-1
255	5738	55	1
255	5792	54	-1
255	5847	55	1
255	5902	55	0
255	5956	54	-1
255	6010	54	0
255	6065	55	1
255	6120	55	0
255	6174	54	-1
255	6229	55	1
255	6283	54	-1
255	6338	55	1
255	6392	54	-1
255	6447	55	1
255	6501	54	-1
255	6556	55	1
255	6610	54	-1
255	6665	55	1
255	6720	55	0
255	6774	54	-1
255	6829	55	1
255	6883	54	-1
255	6938	55	1
255	6992	54	-1
255	7047	55	1
255	7101	54	-1
255	7156	55	1
255	7210	54	-1
255	7265	55	1
255	7319	54	-1
255	7374	55	1
255	7429	55	0
255	7483	54	-1
255	7538	55	1
255	7592	54	-1
255	7646	54	0
255	7701	55	1
255	7756	55	0
255	7810	54	-1
255	7865	55	1
255	7919	54	-1
255	7974	55	1
255	8029	55	0
255	8083	54	-1
255	8138	55	1
255	8192	54	-1
255	8247	55	1
255	8301	54	-1
255	8356	55	1
255	8411	55	0
255	8465	54	-1
255	8520	55	1
255	8574	54	-1
255	8629	55	1
255	8684	55	0
255	8738	54	-1
255	8793	55	1
255	8847	54	-1
255	8902	55	1
255	8957	55	0
255	9011	54	-1
255	9066	55	1
255	9120	54	-1
255	9175	55	1
255	9230	55	0
255	9284	54	-1
255	9339	55	1
255	9393	54	-1
255	9448	55	1
255	9502	54	-1
255	9557	55	1
255	9612	55	0
255	9666	54	-1
255	9721	55	1
255	9775	54	-1
255	9830	55	1
255	9885	55	0
1000	9939	54	-1
1000	9985	46	-8
1000	10014	29	-17
1000	10034	20	-9
1000	10049	15	-5
1000	10061	12	-3
1000	10070	9	-3
1000	10077	7	-2
1000	10082	5	-2
1000	10086	4	-1
1000	10088	2	-2
1000	10090	2	0
1000	10090	0	-2
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
1000	10090	0	0
-255	10090	0	0
-255	10084	-6	-6
-255	10064	-20	-14
-255	10034	-30	-10
-255	9999	-35	-5
-255	9958	-41	-6
-255	9913	-45	-4
-255	9866	-47	-2
-255	9817	-49	-2
-255	9766	-51	-2
-255	9714	-52	-1
-255	9662	-52	0
-255	9609	-53	-1
-255	9556	-53	0
-255	9503	-53	0
-255	9449	-54	-1
-255	9396	-53	1
-255	9342	-54	-1
-255	9288	-54	0
-255	9235	-53	1
-255	9181	-54	-1
-255	9127	-54	0
-255	9073	-54	0
-255	9019	-54	0
-255	8964	-55	-1
-255	8910	-54	1
-255	8856	-54	0
