Pendolo inverso attivazione
dt	OCR2A	Prescaler
10	156	1024
-255	5410	-54	1
-255	5356	-54	0
-255	5302	-54	0
-255	5247	-55	-1
-255	5193	-54	1
-255	5139	-54	0
-255	5084	-55	-1
-255	5030	-54	1
-255	4976	-54	0
-255	4921	-55	-1
-255	4867	-54	1
-255	4812	-55	-1
-255	4758	-54	1
-255	4703	-55	-1
-255	4649	-54	1
-255	4594	-55	-1
-255	4540	-54	1
-255	4485	-55	-1
-255	4431	-54	1
-255	4376	-55	-1
-255	4322	-54	1
-255	4267	-55	-1
-255	4213	-54	1
-255	4158	-55	-1
-255	4104	-54	1
-255	4049	-55	-1
-255	3994	-55	0
-255	3940	-54	1
-255	3886	-54	0
-255	3831	-55	-1
-255	3776	-55	0
-255	3722	-54	1
-255	3667	-55	-1
-255	3613	-54	1
-255	3558	-55	-1
-255	3503	-55	0
-255	3449	-54	1
-255	3394	-55	-1
-255	3340	-54	1
-255	3285	-55	-1
-255	3231	-54	1
-255	3176	-55	-1
-255	3121	-55	0
-255	3067	-54	1
-255	3012	-55	-1
-255	2957	-55	0
-255	2903	-54	1
-255	2848	-55	-1
-255	2793	-55	0
-255	2739	-54	1
-255	2684	-55	-1
-255	2630	-54	1
-255	2575	-55	-1
-255	2520	-55	0
-255	2466	-54	1
-255	2411	-55	-1
-255	2356	-55	0
-255	2302	-54	1
-255	2247	-55	-1
-255	2192	-55	0
-255	2138	-54	1
-255	2083	-55	-1
-255	2029	-54	1
-255	1974	-55	-1
-255	1919	-55	0
-255	1864	-55	0
-255	1810	-54	1
-255	1755	-55	-1
-255	1700	-55	0
-255	1646	-54	1
-255	1591	-55	-1
-255	1536	-55	0
-255	1482	-54	1
-255	1427	-55	-1
-255	1373	-54	1
-255	1318	-55	-1
-255	1263	-55	0
-255	1208	-55	0
-255	1154	-54	1
-255	1099	-55	-1
-255	1044	-55	0
-255	990	-54	1
-255	935	-55	-1
-255	880	-55	0
-255	825	-55	0
-255	769	-56	-1
-255	714	-55	1
-255	660	-54	1
-255	605	-55	-1
-255	550	-55	0
-255	495	-55	0
-255	441	-54	1
-255	386	-55	-1
-255	331	-55	0
-255	277	-54	1
-255	222	-55	-1
-255	167	-55	0
-255	113	-54	1
-255	58	-55	-1
-255	3	-55	0
-255	-52	-55	0
-255	-106	-54	1
-255	-161	-55	-1
-255	-216	-55	0
-255	-271	-55	0
-255	-326	-55	0
-255	-380	-54	1
-255	-435	-55	-1
-255	-490	-55	0
-255	-544	-54	1
-255	-599	-55	-1
-255	-654	-55	0
-255	-709	-55	0
-255	-763	-54	1
-255	-818	-55	-1
-255	-873	-55	0
-255	-928	-55	0
-255	-982	-54	1
-255	-1037	-55	-1
-255	-1092	-55	0
-255	-1147	-55	0
-255	-1202	-55	0
-255	-1256	-54	1
-255	-1311	-55	-1
-255	-1366	-55	0
-255	-1420	-54	1
-255	-1475	-55	-1
-255	-1530	-55	0
-255	-1585	-55	0
-255	-1640	-55	0
-255	-1694	-54	1
-255	-1749	-55	-1
-255	-1804	-55	0
-255	-1859	-55	0
-255	-1914	-55	0
-255	-1968	-54	1
-255	-2023	-55	-1
-255	-2078	-55	0
-255	-2133	-55	0
-255	-2187	-54	1
-255	-2242	-55	-1
-255	-2297	-55	0
-255	-2352	-55	0
-255	-2407	-55	0
-255	-2462	-55	0
-255	-2517	-55	0
-255	-2571	-54	1
-255	-2626	-55	-1
-255	-2681	-55	0
-255	-2735	-54	1
-255	-2790	-55	-1
-255	-2845	-55	0
-255	-2900	-55	0
-255	-2955	-55	0
-255	-3010	-55	0
-255	-3065	-55	0
-255	-3119	-54	1
-255	-3174	-55	-1
-255	-3229	-55	0
-255	-3284	-55	0
-255	-3338	-54	1
-255	-3393	-55	-1
-255	-3448	-55	0
-255	-3503	-55	0
-255	-3558	-55	0
-255	-3613	-55	0
